ccode,year,newstate,latent_mean,terror_killed,terror_events,max_hostlevel,cwar_onset,cconflict_onset,cwar_count,cconflict_count,uds_xpolity,pop,rgdppc,exclpop,oilpc,xpolity,xpolity_nas,osv_deaths,nsv_deaths,violent_protest,nonviolent_protest,ethfrac
2,1970,not a recent entrant,-0.959957381466259,33,468,war,0,0,0,0,1.05834225031473,12.2523064974969,9.92004128041853,0.297,2.471397,7,7,,,0,0,0.3569501
2,1971,not a recent entrant,-0.538038856418404,20,247,war,0,0,0,0,1.05773776299406,12.2612969707816,9.94700144065757,0.297,2.400525,7,7,,,0,0,0.3569501
2,1972,not a recent entrant,-0.169684662112357,10,64,war,0,0,0,0,1.06612331428798,12.2702221066187,9.9952117649835,0.297,2.374928,7,7,,,0,0,0.3569501
2,1973,not a recent entrant,0.178864651252445,45,58,war,0,0,0,0,1.29370610894485,12.2791586885493,10.046917975193,0.297,2.610013,7,7,,,0,0,0.3569501
2,1974,not a recent entrant,0.520637053816849,16,94,use of force,0,0,0,0,1.29041313554984,12.2881759057295,10.0291232308865,0.297,2.170081,7,7,,,0,0,0.3569501
2,1975,not a recent entrant,0.856559784588524,24,149,use of force,0,0,0,0,1.29830047226081,12.2973216809487,10.0156959677177,0.297,2.051986,7,7,,,0,0,0.3569501
2,1976,not a recent entrant,1.19343269418278,4,105,use of force,0,0,0,0,1.39648862325215,12.3066479402588,10.0627481544453,0.297,1.975031,7,7,,,0,0,0.3569501
2,1977,not a recent entrant,1.48422827778424,4,130,use of force,0,0,0,0,1.39449863445476,12.3161588475224,10.1000012560309,0.297,1.980205,7,7,,,0,0,0.3569501
2,1978,not a recent entrant,1.69209566341647,8,87,display of force,0,0,0,0,1.15184957773046,12.3257915838949,10.1482027537383,0.297,2.058561,7,7,,,0,0,0.3569501
2,1979,not a recent entrant,1.85910832622162,18,69,use of force,0,0,0,0,0.952230310591569,12.3354514342675,10.1676482793216,0.297,2.002949,7,7,,,0,0,0.3569501
2,1980,not a recent entrant,2.00294397323753,15,67,use of force,0,0,0,0,1.05598570247539,12.345073428732,10.1485385732349,0.297,2.072362,7,7,,,0,0,0.3569501
2,1981,not a recent entrant,2.09063723698037,8,73,use of force,0,0,0,0,1.02425889073028,12.3546438892113,10.1649849028806,0.297,2.045613,7,7,,,0,0,0.3569501
2,1982,not a recent entrant,2.11764759241704,11,78,display of force,0,0,0,0,1.02494151207153,12.3641921818738,10.1318621977896,0.297,2.036745,7,7,,,0,0,0.3569501
2,1983,not a recent entrant,2.09299667651559,8,44,use of force,0,0,0,0,1.36475791690209,12.3737486867383,10.1668693760379,0.297,2.025498,7,7,,,0,0,0.3569501
2,1984,not a recent entrant,2.00212836408717,3,63,use of force,0,0,0,0,1.23616684387426,12.3833576652378,10.2310098577378,0.297,2.058886,7,7,,,0,0,0.3569501
2,1985,not a recent entrant,1.81328587586661,3,40,display of force,0,0,0,0,1.2781554598355,12.3930489770317,10.256065113655,0.297,2.056035,7,7,,,0,0,0.3569501
2,1986,not a recent entrant,1.68152285787719,1,49,use of force,0,0,0,0,1.2407155471756,12.4028549728961,10.2755234112095,0.297,1.974303,7,7,,,0,0,0.3569501
2,1987,not a recent entrant,1.60275184295612,1,34,use of force,0,0,0,0,1.23789781715042,12.4127655844637,10.2968608484559,0.297,1.904652,7,7,,,0,0,0.3569501
2,1988,not a recent entrant,1.59636731693787,1,27,use of force,0,0,0,0,1.36788577418019,12.4227214717025,10.3256721084511,0.297,1.849993,7,7,,,0,0,0.3569501
2,1989,not a recent entrant,1.56035427511211,3,42,use of force,0,0,0,0,1.36492350400178,12.4326413243923,10.350550673984,0.297,1.726923,7,7,0,0,0,0,0.3569501
2,1990,not a recent entrant,1.50264031493229,5,32,war,0,0,0,0,1.54280664555961,12.4424841864932,10.3555890785951,0.297,1.661637,7,7,0,0,143,161,0.3569501
2,1991,not a recent entrant,1.26866682420376,2,30,war,0,0,0,0,1.53871184606029,12.4521798620076,10.3411878135373,0.297,1.665643,7,7,0,0,160,204,0.3569501
2,1992,not a recent entrant,1.21720588456872,2,32,use of force,0,0,0,0,1.99576684526738,12.461783749806,10.367004878626,0.297,1.609234,7,7,0,0,126,206,0.3569501
2,1993,not a recent entrant,1.35858930193316,0,0,use of force,0,0,0,0,1.99413353192116,12.4715215706134,10.3881938163917,0.297,1.531923,7,7,0,0,171,237,0.3569501
2,1994,not a recent entrant,1.43991414490029,10,56,use of force,0,0,0,0,1.99650877145802,12.4816909170735,10.4211110185281,0.297,1.478237,7,7,0,0,138,241,0.3569501
2,1995,not a recent entrant,1.46771539594628,170,60,use of force,0,0,0,0,1.99302142058404,12.49246784031,10.4358860005806,0.297,1.447325,7,7,0,0,133,238,0.3569501
2,1996,not a recent entrant,1.47567982427147,2,35,use of force,0,0,0,0,1.53856802223231,12.5039288975415,10.4632684696941,0.297,1.416242,7,7,0,0,219,280,0.3569501
2,1997,not a recent entrant,1.50669855914814,2,40,war,0,0,0,0,1.53997532236501,12.5159197731349,10.4967829056053,0.297,1.394896,7,7,0,0,143,280,0.3569501
2,1998,not a recent entrant,1.51037256706239,4,30,war,0,0,0,0,1.54407304007789,12.5281056724111,10.5281888548382,0.297,1.445141,7,7,0,0,160,262,0.3569501
2,1999,not a recent entrant,1.44176149459692,20,53,war,0,0,0,0,1.53726197435451,12.5400418593446,10.5634426710524,0.297,1.367155,7,7,0,0,126,221,0.3569501
2,2000,not a recent entrant,1.28498551547465,0,32,war,0,0,0,0,1.55382240850138,12.5514207675364,10.5944706431417,0.297,1.347437,7,7,0,0,144,246,0.3569501
2,2001,not a recent entrant,0.954684364211093,3003,41,war,1,0,1,0,1.50423666270932,12.5621541434146,10.5919967442344,0.297,1.322955,7,7,2753,0,366,378,0.3569501
2,2002,not a recent entrant,0.736893902178176,4,33,war,0,0,0,1,1.50478485886789,12.5723370482849,10.5946242133551,0.297,1.241598,7,7,0,0,344,261,0.3569501
2,2003,not a recent entrant,0.545766949208861,0,32,war,0,0,0,1,1.50601061701142,12.5820774285478,10.6083661501405,0.297,1.269689,7,7,0,0,1047,267,0.3569501
2,2004,not a recent entrant,0.199983401611299,0,9,use of force,0,0,0,1,1.50755260071281,12.5915497171549,10.6328555182694,0.297,1.228711,7,7,0,0,1136,239,0.3569501
2,2005,not a recent entrant,0.0886922535484236,0,20,use of force,0,0,0,1,1.50410865854989,12.6008821841629,10.6532430651132,0.297,1.161362,7,7,0,0,20,109,0.3569501
