year	cowcode	exclpop
1946	2	.121
1947	2	.121
1948	2	.121
1949	2	.121
1950	2	.121
1951	2	.121
1952	2	.121
1953	2	.121
1954	2	.121
1955	2	.121
1956	2	.121
1957	2	.121
1958	2	.121
1959	2	.121
1960	2	.121
1961	2	.121
1962	2	.121
1963	2	.121
1964	2	.121
1965	2	.121
1966	2	.297
1967	2	.297
1968	2	.297
1969	2	.297
1970	2	.297
1971	2	.297
1972	2	.297
1973	2	.297
1974	2	.297
1975	2	.297
1976	2	.297
1977	2	.297
1978	2	.297
1979	2	.297
1980	2	.297
1981	2	.297
1982	2	.297
1983	2	.297
1984	2	.297
1985	2	.297
1986	2	.297
1987	2	.297
1988	2	.297
1989	2	.297
1990	2	.297
1991	2	.297
1992	2	.297
1993	2	.297
1994	2	.297
1995	2	.297
1996	2	.297
1997	2	.297
1998	2	.297
1999	2	.297
2000	2	.297
2001	2	.297
2002	2	.297
2003	2	.297
2004	2	.297
2005	2	.297
2006	2	.297
2007	2	.297
2008	2	.297
2009	2	.173
2010	2	.173
1946	20	.02
1947	20	.02
1948	20	.02
1949	20	.02
1950	20	.02
1951	20	.02
1952	20	.02
1953	20	.02
1954	20	.02
1955	20	.02
1956	20	.02
1957	20	.02
1958	20	.02
1959	20	.02
1960	20	.02
1961	20	.02
1962	20	.02
1963	20	.02
1964	20	.02
1965	20	.02
1966	20	.02
1967	20	.02
1968	20	.02
1969	20	.02
1970	20	.02
1971	20	.02
1972	20	.02
1973	20	.02
1974	20	.02
1975	20	.02
1976	20	.02
1977	20	.02
1978	20	.02
1979	20	.02
1980	20	.02
1981	20	.02
1982	20	.028
1983	20	.028
1984	20	.028
1985	20	.028
1986	20	.028
1987	20	.028
1988	20	.028
1989	20	.028
1990	20	.028
1991	20	.028
1992	20	.028
1993	20	.028
1994	20	.028
1995	20	.028
1996	20	.028
1997	20	.028
1998	20	.028
1999	20	.028
2000	20	.028
2001	20	.028
2002	20	.028
2003	20	.028
2004	20	.028
2005	20	.028
2006	20	.028
2007	20	.028
2008	20	.028
2009	20	.028
2010	20	.028
1946	40	.33
1947	40	.33
1948	40	.33
1949	40	.33
1950	40	.33
1951	40	.33
1952	40	.33
1953	40	.33
1954	40	.33
1955	40	.33
1956	40	.33
1957	40	.33
1958	40	.33
1959	40	.33
1960	40	0
1961	40	0
1962	40	0
1963	40	0
1964	40	0
1965	40	0
1966	40	0
1967	40	0
1968	40	0
1969	40	0
1970	40	0
1971	40	0
1972	40	0
1973	40	0
1974	40	0
1975	40	0
1976	40	0
1977	40	0
1978	40	0
1979	40	0
1980	40	0
1981	40	0
1982	40	0
1983	40	0
1984	40	0
1985	40	0
1986	40	0
1987	40	0
1988	40	0
1989	40	0
