year	cowcode	oilpc
1946	2	1.650906
1947	2	1.758438
1948	2	1.878583
1949	2	1.682033
1950	2	1.753844
1951	2	1.96616
1952	2	1.970247
1953	2	1.99439
1954	2	1.924697
1955	2	2.028677
1956	2	2.099285
1957	2	2.061944
1958	2	1.897047
1959	2	1.96978
1960	2	1.934941
1961	2	1.940738
1962	2	1.950425
1963	2	1.97751
1964	2	1.971932
1965	2	2.099939
1966	2	2.206918
1967	2	2.323351
1968	2	2.381123
1969	2	2.397901
1970	2	2.471397
1971	2	2.400525
1972	2	2.374928
1973	2	2.610013
1974	2	2.170081
1975	2	2.051986
1976	2	1.975031
1977	2	1.980205
1978	2	2.058561
1979	2	2.002949
1980	2	2.072362
1981	2	2.045613
1982	2	2.036745
1983	2	2.025498
1984	2	2.058886
1985	2	2.056035
1986	2	1.974303
1987	2	1.904652
1988	2	1.849993
1989	2	1.726923
1990	2	1.661637
1991	2	1.665643
1992	2	1.609234
1993	2	1.531923
1994	2	1.478237
1995	2	1.447325
1996	2	1.416242
1997	2	1.394896
1998	2	1.445141
1999	2	1.367155
2000	2	1.347437
2001	2	1.322955
2002	2	1.241598
2003	2	1.269689
2004	2	1.228711
2005	2	1.161362
2006	2	1.146262
2007	2	1.131196
2008	2	1.102183
2009	2	1.179619
2010	2	1.214379
1946	20	.076533
1947	20	.0761949
1948	20	.1260728
1949	20	.2089054
1950	20	.282899
1951	20	.4520758
1952	20	.5644796
1953	20	.726485
1954	20	.8384281
1955	20	1.100633
1956	20	1.426334
1957	20	1.463269
1958	20	1.29749
1959	20	1.437891
1960	20	1.464847
1961	20	1.685
1962	20	1.857716
1963	20	1.942995
1964	20	2.042588
1965	20	2.218304
1966	20	2.381402
1967	20	2.557956
1968	20	2.704633
1969	20	2.897951
1970	20	3.160323
1971	20	3.340193
1972	20	3.785208
1973	20	4.339046
1974	20	3.972529
1975	20	3.40536
1976	20	3.095487
1977	20	3.072219
1978	20	3.014911
1979	20	3.4034
1980	20	3.260486
1981	20	2.915329
1982	20	2.844721
1983	20	2.973355
1984	20	3.140768
1985	20	3.178106
1986	20	3.147067
1987	20	3.266309
1988	20	3.385893
1989	20	3.286229
1990	20	3.240773
1991	20	3.192135
1992	20	3.304829
1993	20	3.391165
1994	20	3.537918
1995	20	3.656255
1996	20	3.690301
1997	20	3.82514
1998	20	4.230691
1999	20	4.089062
2000	20	4.185953
2001	20	4.140512
2002	20	4.254774
2003	20	4.706506
2004	20	4.79087
2005	20	4.681035
2006	20	4.804519
2007	20	4.99725
2008	20	4.824474
2009	20	4.773819
2010	20	4.939492
1946	40	.002183
1947	40	.0032997
1948	40	.0024589
1949	40	.001667
1950	40	.000354
1951	40	.0003469
1952	40	.00017
1953	40	.0001632
1954	40	.0004797
1955	40	.0075223
1956	40	.0109013
1957	40	.0078303
1958	40	.0066538
1959	40	.0018113
1960	40	.0009911
1961	40	.0006961
1962	40	.00082
1963	40	.0020723
1964	40	.0024128
1965	40	.0036288
1966	40	.0042999
1967	40	.0070932
1968	40	.0118946
1969	40	.0121688
1970	40	.0092458
1971	40	.0068656
1972	40	.0062912
1973	40	.0076109
1974	40	.0172207
1975	40	.0227695
1976	40	.0255308
1977	40	.028996
1978	40	.032963
1979	40	.0353001
1980	40	.0370982
1981	40	.0386882
1982	40	.055368
1983	40	.0701045
1984	40	.0784176
1985	40	.0900099
1986	40	.0951202
1987	40	.0921739
1988	40	.0754591
1989	40	.0747397
1990	40	.072735
1991	40	.0724256
1992	40	.0864437
1993	40	.0946935
1994	40	.1180053
1995	40	.1303763
1996	40	.1391147
1997	40	.1434386
1998	40	.153409
1999	40	.180301
2000	40	.1886174
2001	40	.2238598
2002	40	0
2003	40	0
2004	40	0
2005	40	0
2006	40	0
2007	40	0
2008	40	0
