gwno,ethfrac
2,.3569501
20,.754994
40,.0357236
41,.0135912
42,.0369888
51,.0457667
52,.5584315
70,.3051082
90,.6436841
91,.1617326
92,.1659187
93,.1793287
94,.07109
95,.2608516
100,.0601527
101,.107347
110,.5838412
130,.5338533
135,.5896865
140,.0705802
145,.678133
150,.1449224
155,.1404371
160,.3073192
165,.1981625
200,.3254545
205,.0454303
210,.1019633
211,.5511842
220,.2610468
225,.5037078
230,.4358809
235,.0056763
260,.0259799
265,.0139406
290,.0281234
305,.1263406
310,.0981686
315,.4899217
316,.322181
317,.2539
325,.0381711
339,.087878
343,.5095635
344,.334221
345,.699818
346,.6971532
349,.0859232
350,.0986451
352,.3485829
355,.2199495
359,.5515695
360,.2521631
365,.6120203
366,.5243078
367,.609375
368,.3464907
369,.4186047
370,.4029138
371,.1150442
372,.49551
373,.3035241
375,.1589025
380,.0829769
385,.0388687
390,.0490757
404,.803757
420,.7278148
432,.7783107
433,.7227722
434,.6181775
435,.3354173
436,.7325881
437,.8592935
438,.7496075
439,.6782554
450,.8299122
451,.7688465
452,.7061233
461,.7106903
471,.8918986
475,.8689318
481,.6881428
482,.6862994
483,.8262728
484,.6572124
490,.9016318
500,.8994653
501,.8332538
510,.9250348
516,.0355107
517,.1292108
520,.0767429
522,.6933391
530,.6935933
531,.5875
540,.7832817
541,.6549301
551,.8182164
552,.5439504
553,.6202697
560,.8772271
565,.676549
570,.2224825
571,.5063918
572,.3867517
580,.0621904
590,.5803233
600,.5340092
615,.4352734
616,.158251
620,.2154567
625,.7350703
630,.7565817
640,.2549133
645,.3624712
651,.0440085
652,.2230946
660,.1348051
663,.0466286
666,.1991376
670,.0585795
678,.0372437
679,.06
680,.1722642
690,.1846862
692,.2638937
696,.180868
698,.23702
700,.658281
701,.4623656
702,.5515695
703,.6625953
704,.4845361
705,.6884735
710,.1184524
712,.383225
713,.2744
731,.001
732,.0041175
740,.015465
750,.8864782
760,.6796604
770,.644509
771,.0049751
775,.4755049
780,.4670414
790,.6992369
800,.6636521
811,.2969234
812,.5996567
816,.2661632
817,.2637117
820,.6515211
830,.419383
840,.7451771
850,.7640584
900,.3158901
910,.4450503
920,.3729993
950,.7105385
