ccode,year,attacksum,deathsum
2,1981,53,7
2,1982,60,7
2,1983,40,7
2,1984,57,3
2,1985,35,3
2,1986,31,0
2,1987,27,1
2,1988,20,0
2,1989,35,3
2,1990,26,5
2,1991,24,2
2,1992,31,2
2,1993,0,0
2,1994,56,9
2,1995,62,171
2,1996,36,3
2,1997,41,2
2,1998,26,4
2,1999,53,20
2,2000,33,0
2,2001,39,3003
2,2002,34,4
2,2003,31,0
2,2004,9,0
2,2005,23,0
2,2006,6,1
2,2007,9,0
2,2008,18,2
2,2009,11,18
2,2010,17,4
20,1981,0,0
20,1982,5,1
20,1983,1,0
20,1984,0,0
20,1985,3,331
20,1986,2,1
20,1987,0,0
20,1988,0,0
20,1989,0,0
20,1990,0,0
20,1991,0,0
20,1992,3,0
20,1993,0,0
20,1994,4,0
20,1995,5,1
20,1996,1,0
20,1997,2,0
20,1998,4,1
20,1999,2,0
20,2000,5,0
20,2001,0,0
20,2002,0,0
20,2003,0,0
20,2004,2,0
20,2005,0,0
20,2006,3,1
20,2007,0,0
20,2008,6,0
20,2009,4,0
20,2010,2,0
31,1981,1,0
31,1982,0,0
31,1983,0,0
31,1984,0,0
31,1985,0,0
31,1986,0,0
31,1987,0,0
31,1988,0,0
31,1989,0,0
31,1990,0,0
31,1991,0,0
31,1992,0,0
31,1993,0,0
31,1994,0,0
31,1995,0,0
31,1996,0,0
31,1997,2,1
31,1998,0,0
31,1999,0,0
31,2000,0,0
31,2001,0,0
31,2002,0,0
31,2003,0,0
31,2004,0,0
31,2005,0,0
31,2006,0,0
31,2007,0,0
31,2008,0,0
31,2009,0,0
31,2010,0,0
41,1981,0,0
41,1982,0,0
41,1983,6,5
41,1984,0,0
41,1985,0,0
41,1986,0,0
41,1987,10,4
41,1988,6,3
41,1989,3,0
41,1990,3,13
41,1991,17,137
41,1992,27,18
41,1993,0,0
41,1994,27,87
41,1995,34,16
41,1996,27,14
41,1997,16,9
41,1998,1,0
41,1999,5,3
41,2000,9,5
41,2001,5,0
41,2002,2,0
41,2003,5,4
41,2004,2,7
41,2005,1,1
41,2006,1,2
41,2007,2,1
41,2008,0,0
41,2009,0,0
41,2010,0,0
42,1981,0,0
42,1982,2,5
42,1983,0,0
42,1984,0,0
42,1985,0,0
42,1986,0,0
42,1987,15,7
42,1988,2,0
42,1989,11,1
42,1990,2,3
42,1991,8,1
42,1992,11,1
42,1993,0,0
42,1994,7,2
42,1995,0,0
42,1996,3,3
42,1997,12,3
42,1998,0,0
42,1999,0,0
42,2000,0,0
42,2001,0,0
42,2002,0,0
42,2003,0,0
42,2004,0,0
42,2005,0,0
42,2006,0,0
42,2007,0,0
42,2008,0,0
42,2009,0,0
42,2010,0,0
51,1981,1,5
51,1982,0,0
51,1983,0,0
51,1984,0,0
51,1985,0,0
51,1986,1,3
51,1987,0,0
51,1988,0,0
51,1989,0,0
51,1990,0,0
51,1991,1,0
51,1992,6,5
51,1993,0,0
51,1994,2,2
51,1995,1,1
51,1996,1,1
51,1997,8,10
51,1998,0,0
51,1999,0,0
51,2000,0,0
51,2001,0,0
51,2002,0,0
51,2003,0,0
51,2004,0,0
51,2005,0,0
51,2006,0,0
51,2007,1,0
51,2008,0,0
51,2009,0,0
51,2010,0,0
52,1981,1,0
