year,ccode,terror_killed,terror_events
1970,2,33,468
1971,2,20,247
1972,2,10,64
1973,2,45,58
1974,2,16,94
1975,2,24,149
1976,2,4,105
1977,2,4,130
1978,2,8,87
1979,2,18,69
1980,2,15,67
1981,2,8,73
1982,2,11,78
1983,2,8,44
1984,2,3,63
1985,2,3,40
1986,2,1,49
1987,2,1,34
1988,2,1,27
1989,2,3,42
1990,2,5,32
1991,2,2,30
1992,2,2,32
1994,2,10,56
1995,2,170,60
1996,2,2,35
1997,2,2,40
1998,2,4,30
1999,2,20,53
2000,2,0,32
2001,2,3003,41
2002,2,4,33
2003,2,0,32
2004,2,0,9
2005,2,0,20
2006,2,1,6
2007,2,0,9
2008,2,2,18
1970,20,1,2
1972,20,1,4
1974,20,0,1
1980,20,0,3
1982,20,1,5
1983,20,0,1
1985,20,331,3
1986,20,0,2
1992,20,0,3
1994,20,0,4
1995,20,1,5
1996,20,0,1
1997,20,0,2
1998,20,1,4
1999,20,0,2
2000,20,0,5
2004,20,0,2
2006,20,0,2
2008,20,0,5
1976,31,0,1
1981,31,0,1
1997,31,1,2
1991,40,0,1
1992,40,3,4
1994,40,3,9
1996,40,0,1
1997,40,1,14
2007,40,1,1
1973,41,0,1
1974,41,0,2
1983,41,5,6
1987,41,4,10
1988,41,3,6
1989,41,0,3
1990,41,13,3
1991,41,137,17
1992,41,18,27
1994,41,87,27
1995,41,16,34
1996,41,14,27
1997,41,9,16
1998,41,0,1
1999,41,3,5
2000,41,5,9
2001,41,0,5
2002,41,0,2
2003,41,4,5
2004,41,7,2
2005,41,1,1
2006,41,2,1
2007,41,1,2
1970,42,1,2
1971,42,0,3
1973,42,0,3
1974,42,0,2
1978,42,3,1
1979,42,1,2
1980,42,1,1
1982,42,5,2
1987,42,7,15
1988,42,0,2
1989,42,1,11
1990,42,3,2
1991,42,1,8
1992,42,1,11
1994,42,2,7
1996,42,3,3
1997,42,3,12
1974,51,0,2
1976,51,0,1
1979,51,4,2
1980,51,11,6
1981,51,5,1
1986,51,3,1
1991,51,0,1
1992,51,5,6
1994,51,2,2
1995,51,1,1
1996,51,1,1
1997,51,10,8
2007,51,0,1
1976,52,0,1
1979,52,0,1
1981,52,0,1
1983,52,0,1
1989,52,0,1
1991,52,0,1
1992,52,0,1
1994,52,2,1
1995,52,4,4
1996,52,0,3
2005,52,0,2
1976,53,73,2
1992,53,3,1
1981,54,3,2
1997,54,0,1
1980,55,9,4
1983,55,0,1
2000,56,2,1
1992,58,0,1
1995,60,0,2
1970,70,0,2
1972,70,0,1
1973,70,1,6
1974,70,2,16
1975,70,32,10
1976,70,26,20
1977,70,11,19
1978,70,7,30
1979,70,5,10
1980,70,3,5
1981,70,0,3
1982,70,1,3
1983,70,0,2
1984,70,13,4
1985,70,0,1
1986,70,0,2
1987,70,0,1
1988,70,2,3
1989,70,0,1
1990,70,3,5
1991,70,13,10
1992,70,6,6
1994,70,88,42
1995,70,61,29
1996,70,96,75
1997,70,229,95
1998,70,3,2
1999,70,0,1
2000,70,5,4
2001,70,13,7
2003,70,2,1
2004,70,0,1
2005,70,2,1
2006,70,7,7
2007,70,25,10
2008,70,21,8
1980,80,0,1
1991,80,2,3
1992,80,1,2
2000,80,0,1
1970,90,2,4
1971,90,0,1
1974,90,0,1
1975,90,23,5
1976,90,8,13
1977,90,6,8
1978,90,35,29
1979,90,53,60
1980,90,528,281
1981,90,1381,399
1982,90,1562,354
1983,90,530,117
1984,90,171,74
1985,90,137,63
1986,90,54,31
1987,90,211,56
1988,90,135,29
1989,90,43,79
1990,90,68,83
1991,90,73,77
1992,90,28,48
1994,90,22,84
1995,90,40,82
1996,90,14,26
1997,90,22,26
1999,90,3,1
2000,90,2,1
2001,90,1,2
2003,90,1,3
2004,90,3,2
2006,90,5,4
1973,91,0,1
1979,91,1,6
1980,91,6,16
1981,91,7,17
1982,91,24,34
1983,91,75,29
1984,91,5,12
1985,91,7,9
1986,91,10,8
1987,91,21,20
1988,91,32,21
1989,91,9,29
1990,91,3,13
1991,91,18,21
1992,91,5,12
1994,91,10,6
1995,91,8,12
1996,91,11,19
1997,91,14,22
2002,91,0,1
2004,91,28,1
1972,92,0,2
1973,92,0,1
1974,92,0,3
1975,92,2,3
1976,92,3,13
1977,92,4,6
1978,92,33,91
1979,92,286,326
1980,92,2383,710
1981,92,1578,664
1982,92,1549,537
1983,92,1667,371
1984,92,1315,273
1985,92,1013,436
1986,92,293,175
1987,92,421,234
1988,92,361,367
1989,92,350,356
1990,92,294,184
1991,92,426,500
1992,92,23,29
1994,92,22,21
1995,92,3,9
1996,92,26,7
1997,92,1,2
1970,93,0,1
1974,93,0,1
1975,93,11,1
1977,93,26,5
1978,93,93,76
1979,93,187,206
1980,93,37,35
1981,93,172,47
1982,93,254,63
1983,93,3277,299
1984,93,3617,302
1985,93,1575,258
1986,93,395,171
1987,93,549,223
1988,93,208,62
1989,93,48,21
1990,93,23,15
1991,93,54,80
1992,93,22,30
1994,93,12,19
1995,93,6,18
1996,93,18,26
1997,93,7,7
1999,93,0,1
2000,93,2,1
1971,94,0,1
1976,94,0,12
1977,94,0,5
1978,94,0,2
1979,94,3,2
1980,94,0,3
1981,94,4,10
1982,94,4,6
1983,94,0,3
1984,94,0,2
1985,94,0,5
1986,94,0,1
1987,94,0,3
1988,94,0,2
1989,94,1,1
1990,94,0,1
1991,94,0,2
1992,94,0,2
1994,94,1,1
1996,94,1,1
1997,94,2,1
2001,94,1,1
1972,95,0,1
1976,95,0,2
1979,95,1,4
1980,95,0,4
1981,95,1,4
1983,95,0,9
1984,95,0,2
1986,95,0,5
1987,95,1,4
1988,95,0,1
1989,95,0,2
1990,95,2,15
1991,95,2,16
1992,95,3,37
1994,95,21,3
1995,95,3,6
1996,95,0,2
1997,95,3,6
1999,95,0,1
2000,95,0,1
1970,100,0,1
1972,100,1,2
1973,100,0,6
1975,100,7,10
1976,100,10,22
1977,100,38,80
1978,100,71,158
1979,100,156,140
1980,100,159,141
1981,100,365,172
1982,100,368,222
1983,100,437,234
1984,100,485,237
1985,100,935,382
1986,100,771,307
1987,100,655,337
1988,100,1096,427
1989,100,751,492
1990,100,694,349
1991,100,742,420
1992,100,631,523
1994,100,218,201
1995,100,521,123
1996,100,611,409
