statenum	stateid	year	pop	realgdp	rgdppc	cgdppc	origin
2	USA	1950	155547.24	1987355.88	12776.54	1872.53	0
2	USA	1951	158210.33	2123563.50	13422.41	2108.93	0
2	USA	1952	160942.88	2191430.25	13616.20	2176.14	0
2	USA	1953	163630.49	2288842.00	13987.87	2262.40	0
2	USA	1954	166533.64	2286074.00	13727.40	2240.59	0
2	USA	1955	169501.14	2463346.25	14532.92	2412.61	0
2	USA	1956	172537.09	2516757.00	14586.76	2504.55	0
2	USA	1957	175684.38	2569814.75	14627.45	2595.06	0
2	USA	1958	178644.73	2540404.00	14220.42	2579.44	0
2	USA	1959	181656.16	2725110.75	15001.48	2753.52	0
2	USA	1960	184558.29	2801639.25	15180.24	2825.35	0
2	USA	1961	187643.27	2865231.00	15269.56	2873.88	0
2	USA	1962	190551.52	3040337.50	15955.46	3043.98	0
2	USA	1963	193313.70	3177012.75	16434.49	3168.73	0
2	USA	1964	196017.65	3371237.25	17198.64	3367.49	0
2	USA	1965	198483.59	3590969.50	18092.02	3606.83	0
2	USA	1966	200789.15	3820408.25	19026.97	3900.91	0
2	USA	1967	202987.45	3909642.00	19260.51	4070.32	0
2	USA	1968	205024.36	4102298.00	20008.83	4408.15	0
2	USA	1969	207037.76	4240836.50	20483.40	4735.56	0
2	USA	1970	209463.86	4259202.00	20333.83	4948.85	0
2	USA	1971	211355.53	4415110.00	20889.49	5338.10	0
2	USA	1972	213250.35	4674713.50	21921.25	5843.55	0
2	USA	1973	215164.62	4966974.00	23084.53	6495.06	0
2	USA	1974	217113.58	4923567.50	22677.38	6959.69	0
2	USA	1975	219108.36	4902532.50	22374.92	7515.96	0
2	USA	1976	221161.38	5186870.00	23452.87	8330.23	0
2	USA	1977	223274.86	5435189.50	24343.04	9197.53	0
2	USA	1978	225436.00	5758797.00	25545.15	10329.18	0
2	USA	1979	227624.23	5928871.50	26046.75	11407.96	0
2	USA	1980	229825.00	5872887.00	25553.73	12212.38	0
2	USA	1981	232035.09	6027685.00	25977.47	13578.42	0
2	USA	1982	234261.24	5887248.50	25131.12	13937.47	0
2	USA	1983	236510.69	6155539.00	26026.47	15004.78	0
2	USA	1984	238794.27	6626666.00	27750.52	16599.53	0
2	USA	1985	241119.75	6860966.00	28454.60	17536.00	0
2	USA	1986	243495.80	7064714.00	29013.70	18276.02	0
2	USA	1987	245920.99	7288959.00	29639.43	19211.98	0
2	USA	1988	248381.58	7577077.50	30505.80	20452.92	0
2	USA	1989	250857.75	7845389.50	31274.26	21759.69	0
2	USA	1990	253339.10	7963012.00	31432.23	22713.56	0
2	USA	1991	255807.34	7925629.50	30982.81	23182.58	0
2	USA	1992	258275.92	8211394.50	31793.11	24352.89	0
2	USA	1993	260803.25	8469315.00	32473.96	25423.86	0
2	USA	1994	263468.98	8842204.00	33560.70	26828.43	0
2	USA	1995	266323.72	9071050.00	34060.24	27795.20	0
2	USA	1996	269393.63	9430334.00	35005.78	29110.46	0
2	USA	1997	272643.34	9869378.00	36198.86	30634.37	0
2	USA	1998	275986.07	10309118.00	37353.76	31968.84	0
2	USA	1999	279300.03	10807267.00	38694.11	33602.74	0
2	USA	2000	282496.31	11275426.00	39913.53	35412.48	0
2	USA	2001	285544.78	11368939.00	39814.91	36122.87	0
2	USA	2002	288467.31	11515518.00	39919.66	36804.33	0
2	USA	2003	291290.82	11789128.00	40472.02	38098.34	0
2	USA	2004	294063.12	12196382.00	41475.39	40142.37	0
2	USA	2005	296820.30	12564300.00	42329.65	42329.65	0
2	USA	2006	299564.47	12898268.00	43056.73	44447.90	0
2	USA	2007	302284.56	13149344.00	43499.89	46208.62	0
2	USA	2008	304989.06	13066677.00	42843.10	46519.89	0
2	USA	2009	307686.73	12597854.00	40943.77	44845.30	0
2	USA	2010	310383.95	12920400.00	41627.15	46203.23	0
2	USA	2011	313085.38	13193478.00	42140.19	47769.70	0
20	CAN	1950	13990.08	160678.98	11485.21	1683.27	0
20	CAN	1951	14308.85	166645.80	11646.35	1829.87	0
20	CAN	1952	14763.06	181075.58	12265.45	1960.26	0
20	CAN	1953	15160.25	189835.97	12521.96	2025.30	0
20	CAN	1954	15612.43	189607.52	12144.65	1982.25	0
20	CAN	1955	16025.91	206413.05	12879.96	2138.20	0
20	CAN	1956	16420.04	223264.59	13597.08	2334.62	0
20	CAN	1957	16984.24	229248.19	13497.70	2394.63	0
20	CAN	1958	17435.40	234513.95	13450.45	2439.78	0
20	CAN	1959	17844.81	243196.77	13628.43	2501.50	0
20	CAN	1960	18238.94	252169.53	13825.89	2573.27	0
20	CAN	1961	18606.59	261577.97	14058.35	2645.92	0
20	CAN	1962	18956.93	278262.06	14678.65	2800.39	0
20	CAN	1963	19313.38	292670.59	15153.78	2921.80	0
20	CAN	1964	19681.03	313296.13	15918.69	3116.88	0
20	CAN	1965	20040.53	332209.97	16576.91	3304.77	0
20	CAN	1966	20417.35	353716.19	17324.30	3551.83	0
20	CAN	1967	20788.05	363776.94	17499.33	3698.13	0
20	CAN	1968	21110.89	385948.47	18281.96	4027.70	0
20	CAN	1969	21415.40	407977.81	19050.67	4404.33	0
20	CAN	1970	21716.86	420444.31	19360.28	4711.90	0
20	CAN	1971	22048.43	442378.81	20063.96	5127.14	0
20	CAN	1972	22344.10	468217.03	20954.84	5585.93	0
20	CAN	1973	22614.67	494404.44	21862.11	6151.12	0
20	CAN	1974	22876.66	467750.25	20446.62	6275.07	0
20	CAN	1975	23142.27	478230.19	20664.79	6941.51	0
20	CAN	1976	23416.09	506884.81	21646.86	7688.75	0
20	CAN	1977	23695.20	524253.03	22124.86	8359.44	0
20	CAN	1978	23975.64	550142.25	22945.88	9278.17	0
20	CAN	1979	24250.64	555992.94	22926.94	10041.54	0
20	CAN	1980	24516.28	545974.88	22269.89	10643.00	0
20	CAN	1981	24769.85	562728.50	22718.29	11874.85	0
20	CAN	1982	25016.05	557020.75	22266.54	12348.80	0
20	CAN	1983	25266.95	581170.94	23001.23	13260.67	0
20	CAN	1984	25538.86	619004.44	24237.75	14498.29	0
20	CAN	1985	25842.59	656057.81	25386.69	15645.31	0
20	CAN	1986	26183.11	680426.00	25987.21	16369.61	0
20	CAN	1987	26554.54	731168.25	27534.59	17847.64	0
20	CAN	1988	26943.40	767549.88	28487.49	19099.72	0
20	CAN	1989	27330.30	792724.50	29005.34	20181.04	0
20	CAN	1990	27700.85	791951.50	28589.43	20659.29	0
20	CAN	1991	28051.73	775541.31	27646.83	20686.47	0
20	CAN	1992	28386.16	782065.25	27550.93	21103.46	0
20	CAN	1993	28704.52	795303.63	27706.57	21691.47	0
20	CAN	1994	29009.03	831088.63	28649.31	22902.25	0
20	CAN	1995	29302.09	862539.63	29436.11	24021.63	0
20	CAN	1996	29582.22	876985.63	29645.70	24653.07	0
20	CAN	1997	29850.24	905898.44	30348.11	25683.00	0
20	CAN	1998	30113.97	920786.44	30576.72	26168.78	0
20	CAN	1999	30383.82	980533.94	32271.58	28025.28	0
20	CAN	2000	30667.37	1033078.00	33686.56	29887.73	0
20	CAN	2001	30967.24	1032591.13	33344.63	30252.59	0
20	CAN	2002	31281.73	1025472.25	32781.83	30223.54	0
20	CAN	2003	31608.56	1067942.25	33786.49	31804.91	0
20	CAN	2004	31943.61	1095779.63	34303.57	33201.05	0
