SCODE,CCODE,COUNTRY,YEAR,IND,INTIND,INTVIOL,INTWAR,CIVVIOL,CIVWAR,ETHVIOL,ETHWAR,INTTOT,CIVTOT,ACTOTAL,nBORDER
AFG,700,Afghanistan,1946,1,0,0,0,0,0,0,0,0,0,0,3
AFG,700,Afghanistan,1947,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1948,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1949,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1950,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1951,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1952,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1953,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1954,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1955,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1956,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1957,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1958,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1959,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1960,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1961,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1962,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1963,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1964,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1965,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1966,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1967,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1968,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1969,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1970,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1971,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1972,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1973,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1974,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1975,1,0,0,0,0,0,0,0,0,0,0,4
AFG,700,Afghanistan,1976,1,0,0,0,0,0,0,0,0,0,0,4
