"ccode","year","newstate","latent_mean","latent_sd","terror_events","terror_killed","max_hostlevel","cwar","cconflict","ns_fat","osv_fat","uds","uds_xpolity","part","xrcomp","xropen","xrreg","parreg","xconst","durable","geddes","disap","kill","polpris","tort","pop","rgdppc","exclpop","oilpc","violent_protest","nonviolent_protest","xpolity","xpolity_nas","ethfrac","d_part","d_xpolity_nas","d_uds_xpolity"
2,1981,"not a recent entrant",2.09063723698037,0.365070104798715,0,0,"use of force",0,NA,0,0,1.139611423,1.03513854827978,37.8199996948242,"election","open","election","regulated","party/subordination",172,"non-autocracy","none","none","none","none",12.3546438892113,10.1649849028806,0.297,2.045613,0,0,7,7,0.3569501,0,0,-0.03285315816167
2,1982,"not a recent entrant",2.11764759241704,0.359613443875164,0,0,"display of force",0,NA,0,0,1.144347187,1.03442122259511,37.8199996948242,"election","open","election","regulated","party/subordination",173,"non-autocracy","none","none","none","none",12.3641921818738,10.1318621977896,0.297,2.036745,0,0,7,7,0.3569501,0,0,-0.000717325684669978
2,1983,"not a recent entrant",2.09299667651559,0.348725239031699,0,0,"use of force",0,NA,0,0,1.406296233,1.33551344973389,37.8199996948242,"election","open","election","regulated","party/subordination",174,"non-autocracy","none","none","none","none",12.3737486867383,10.1668693760379,0.297,2.025498,0,0,7,7,0.3569501,0,0,0.30109222713878
2,1984,"not a recent entrant",2.00212836408717,0.336977449931028,0,0,"use of force",0,NA,0,0,1.299023365,1.20810851604286,39.0900001525879,"election","open","election","regulated","party/subordination",175,"non-autocracy","none","none","none","none",12.3833576652378,10.2310098577378,0.297,2.058886,0,0,7,7,0.3569501,1.27000045776367,0,-0.12740493369103
2,1985,"not a recent entrant",1.81328587586661,0.326204887501754,0,0,"display of force",0,NA,0,0,1.320668748,1.25158937481044,39.0900001525879,"election","open","election","regulated","party/subordination",176,"non-autocracy","none","none","none","occasional",12.3930489770316,10.256065113655,0.297,2.056035,0,0,7,7,0.3569501,0,0,0.0434808587675801
2,1986,"not a recent entrant",1.68152285787719,0.313236535236711,0,0,"use of force",0,NA,0,0,1.288262937,1.21032433505553,39.0900001525879,"election","open","election","regulated","party/subordination",177,"non-autocracy","none","none","none","occasional",12.4028549728961,10.2755234112095,0.297,1.974303,0,0,7,7,0.3569501,0,0,-0.0412650397549101
2,1987,"not a recent entrant",1.60275184295612,0.301022360636988,0,0,"use of force",0,NA,0,0,1.290225077,1.20742173108877,39.0900001525879,"election","open","election","regulated","party/subordination",178,"non-autocracy","none","none","none","none",12.4127655844637,10.2968608484559,0.297,1.904652,0,0,7,7,0.3569501,0,0,-0.0029026039667599
2,1988,"not a recent entrant",1.59636731693787,0.29519525777543,0,0,"use of force",0,NA,0,0,1.403440917,1.33083414185648,36.2999992370605,"election","open","election","regulated","party/subordination",179,"non-autocracy","none","none","none","occasional",12.4227214717025,10.3256721084511,0.297,1.849993,0,0,7,7,0.3569501,-2.79000091552734,0,0.12341241076771
2,1989,"not a recent entrant",1.56035427511211,0.291625988469052,0,0,"use of force",0,NA,0,0,1.394486119,1.33751222522961,36.2999992370605,"election","open","election","regulated","party/subordination",180,"non-autocracy","none","none","none","occasional",12.4326413243923,10.350550673984,0.297,1.726923,0,0,7,7,0.3569501,0,0,0.00667808337313014
2,1990,"not a recent entrant",1.50264031493229,0.287830906972655,0,0,"war",0,NA,0,0,1.56978251,1.5164821499287,36.2999992370605,"election","open","election","regulated","party/subordination",181,"non-autocracy","none","none","none","none",12.4424841864932,10.3555890785951,0.297,1.661637,143,161,7,7,0.3569501,0,0,0.17896992469909
2,1991,"not a recent entrant",1.26866682420376,0.280234856612118,0,0,"war",0,NA,0,0,1.569018422,1.5215404933714,36.2999992370605,"election","open","election","regulated","party/subordination",182,"non-autocracy","none","none","none","occasional",12.4521798620076,10.3411878135373,0.297,1.665643,160,204,7,7,0.3569501,0,0,0.00505834344270006
2,1992,"not a recent entrant",1.21720588456872,0.279595379657222,0,0,"use of force",0,NA,0,0,2.004468861,1.98707995837228,40.9500007629395,"election","open","election","regulated","party/subordination",183,"non-autocracy","none","none","none","occasional",12.461783749806,10.367004878626,0.297,1.609234,126,206,7,7,0.3569501,4.65000152587891,0,0.46553946500088
2,1993,"not a recent entrant",1.35858930193316,0.284027994556359,0,0,"use of force",0,NA,0,0,2.013548052,1.99047915853646,40.9500007629395,"election","open","election","regulated","party/subordination",184,"non-autocracy","none","none","none","occasional",12.4715215706134,10.3881938163917,0.297,1.531923,171,237,7,7,0.3569501,0,0,0.00339920016418005
2,1994,"not a recent entrant",1.43991414490029,0.285036375995858,0,0,"use of force",0,NA,0,0,2.003471183,1.9902624174508,40.9500007629395,"election","open","election","regulated","party/subordination",185,"non-autocracy","none","none","none","occasional",12.4816909170735,10.4211110185281,0.297,1.478237,138,241,7,7,0.3569501,0,0,-0.000216741085660166
2,1995,"not a recent entrant",1.46771539594628,0.283969687466954,0,0,"use of force",0,NA,0,0,2.017385976,1.99496805150166,40.9500007629395,"election","open","election","regulated","party/subordination",186,"non-autocracy","none","none","none","occasional",12.49246784031,10.4358860005806,0.297,1.447325,133,238,7,7,0.3569501,0,0,0.00470563405086
2,1996,"not a recent entrant",1.47567982427147,0.286154340540682,0,0,"use of force",0,NA,0,0,1.566602118,1.5202035622934,36.2599983215332,"election","open","election","regulated","party/subordination",187,"non-autocracy","none","none","none","occasional",12.5039288975415,10.4632684696941,0.297,1.416242,219,280,7,7,0.3569501,-4.69000244140625,0,-0.47476448920826
2,1997,"not a recent entrant",1.50669855914814,0.284346318707276,0,0,"war",0,NA,0,0,1.577684387,1.52507493054903,36.2599983215332,"election","open","election","regulated","party/subordination",188,"non-autocracy","none","none","none","occasional",12.5159197731349,10.4967829056053,0.297,1.394896,143,280,7,7,0.3569501,0,0,0.00487136825563006
2,1998,"not a recent entrant",1.51037256706239,0.283915368748599,0,0,"war",0,NA,0,0,1.570275776,1.52063561894669,36.2599983215332,"election","open","election","regulated","party/subordination",189,"non-autocracy","none","none","none","occasional",12.5281056724111,10.5281888548382,0.297,1.445141,160,262,7,7,0.3569501,0,0,-0.00443931160234001
2,1999,"not a recent entrant",1.44176149459692,0.282317903452946,0,0,"war",0,NA,0,0,1.570646523,1.52357007397891,36.2599983215332,"election","open","election","regulated","party/subordination",190,"non-autocracy","none","none","none","occasional",12.5400418593446,10.5634426710524,0.297,1.367155,126,221,7,7,0.3569501,0,0,0.0029344550322199
2,2000,"not a recent entrant",1.28498551547465,0.276037351549055,0,0,"war",0,NA,0,0,1.574445414,1.53490956967716,37.189998626709,"election","open","election","regulated","party/subordination",191,"non-autocracy","none","none","none","occasional",12.5514207675364,10.5944706431417,0.297,1.347437,144,246,7,7,0.3569501,0.930000305175781,0,0.01133949569825
2,2001,"not a recent entrant",0.954684364211093,0.271689285570673,0,0,"war",1,0,0,2753,1.565546908,1.49727771703725,NA,"election","open","election","regulated","party/subordination",192,"non-autocracy","none","none","frequent","occasional",12.5621541434146,10.5919967442344,0.297,1.322955,366,378,7,7,0.3569501,NA,0,-0.03763185263991
2,2002,"not a recent entrant",0.736893902178176,0.262127347192591,0,0,"war",0,1,0,0,1.57130101,1.49149222750003,NA,"election","open","election","regulated","party/subordination",193,"non-autocracy","none","none","occasional","occasional",12.5723370482849,10.5946242133551,0.297,1.241598,344,261,7,7,0.3569501,NA,0,-0.00578548953722002
2,2003,"not a recent entrant",0.545766949208861,0.249489391467131,0,0,"war",0,1,0,0,1.560338148,1.49385335598526,NA,"election","open","election","regulated","party/subordination",194,"non-autocracy","none","none","occasional","occasional",12.5820774285478,10.6083661501405,0.297,1.269689,1047,267,7,7,0.3569501,NA,0,0.00236112848523007
2,2004,"not a recent entrant",0.199983401611299,0.243902108913695,0,0,"use of force",0,1,0,0,1.559502712,1.49712871589346,NA,"election","open","election","regulated","party/subordination",195,"non-autocracy","occasional","occasional","occasional","occasional",12.5915497171549,10.6328555182694,0.297,1.228711,1136,239,7,7,0.3569501,NA,0,0.00327535990820005
2,2005,"not a recent entrant",0.0886922535484236,0.246477656374302,0,0,"use of force",0,1,0,0,1.563417534,1.49124343057401,NA,"election","open","election","regulated","party/subordination",196,"non-autocracy","none","occasional","occasional","frequent",12.6008821841629,10.6532430651132,0.297,1.161362,0,0,NA,NA,0.3569501,NA,NA,-0.00588528531944998
2,2006,"not a recent entrant",0.141596825149377,0.249791513610325,0,0,"use of force",0,1,0,0,1.570110333,1.49471246031856,NA,"election","open","election","regulated","party/subordination",197,"non-autocracy","none","occasional","occasional","frequent",12.6100849321374,10.6702738274867,0.297,1.146262,0,0,NA,NA,0.3569501,NA,NA,0.00346902974454988
2,2007,"not a recent entrant",0.256200830746117,0.248316267665668,0,0,"use of force",0,1,0,0,1.568301849,1.4927721796475,NA,"election","open","election","regulated","party/subordination",198,"non-autocracy","none","occasional","occasional","occasional",12.6191241043722,10.6805136883379,0.297,1.131196,0,0,NA,NA,0.3569501,NA,NA,-0.00194028067106
2,2008,"not a recent entrant",0.331934091730216,0.250912307846271,0,0,"use of force",0,1,0,0,1.567914653,1.49584936484631,NA,"election","open","election","regulated","party/subordination",199,"non-autocracy","none","occasional","none","occasional",12.6280311860938,10.6652998842219,0.297,1.102183,0,0,NA,NA,0.3569501,NA,NA,0.00307718519881006
20,1981,"not a recent entrant",1.87206934584855,0.457985711832817,0,0,"no dispute",0,NA,0,0,1.515225647,1.46797728333074,45.8199996948242,"election","open","election","regulated","party/subordination",93,"non-autocracy","none","none","none","none",10.1173824667525,10.0309256059181,0.02,2.915329,0,0,7,7,0.754994,0,0,-0.0155449002583798
20,1982,"not a recent entrant",1.82902605817059,0.415617877319547,0,0,"no dispute",0,NA,0,0,1.30472012,1.23361572715905,45.8199996948242,"election","open","election","regulated","party/subordination",94,"non-autocracy","none","none","none","occasional",10.1272728978565,10.0108403822177,0.028,2.844721,0,0,7,7,0.754994,0,0,-0.23436155617169
20,1983,"not a recent entrant",1.90432110348008,0.376206570432102,0,0,"no dispute",0,NA,0,0,1.397202437,1.33773061197403,45.8199996948242,"election","open","election","regulated","party/subordination",95,"non-autocracy","none","none","none","occasional",10.1372524966198,10.0433029717422,0.028,2.973355,0,0,7,7,0.754994,0,0,0.10411488481498
