"ConflictId","Year","Location","SideA","SideA2nd","SideB","SideBID","SideB2nd","Incompatibility","TerritoryName","IntensityLevel","CumulativeIntensity","TypeOfConflict","StartDate","StartPrec","StartDate2","StartPrec2","EpEnd","EpEndDate","EpEndPrec","GWNoA","GWNoA2nd","GWNoB","GWNoB2nd","GWNoLoc","Region","Version"
"1-1",1946,"Bolivia","Government of Bolivia",,"Popular Revolutionary Movement",1580,,2,,2,1,3,"1946-06-30",4,"1946-06-30",4,1,"1946-07-21",1,145,,,,145,5,"4.0-2015"
"1-1",1952,"Bolivia","Government of Bolivia",,"MNR",1581,,2,,1,1,3,"1946-06-30",4,"1952-04-09",1,1,"1952-04-12",1,145,,,,145,5,"4.0-2015"
"1-1",1967,"Bolivia","Government of Bolivia",,"ELN",1582,,2,,1,1,3,"1946-06-30",4,"1967-03-31",3,1,"1967-10-16",1,145,,,,145,5,"4.0-2015"
"1-10",1946,"Philippines","Government of Philippines",,"Huk",1009,,2,,2,1,3,"1946-07-31",4,"1946-07-31",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1947,"Philippines","Government of Philippines",,"Huk",1009,,2,,2,1,3,"1946-07-31",4,"1946-07-31",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1948,"Philippines","Government of Philippines",,"Huk",1009,,2,,2,1,3,"1946-07-31",4,"1946-07-31",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1949,"Philippines","Government of Philippines",,"Huk",1009,,2,,2,1,3,"1946-07-31",4,"1946-07-31",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1950,"Philippines","Government of Philippines",,"Huk",1009,,2,,2,1,3,"1946-07-31",4,"1946-07-31",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1951,"Philippines","Government of Philippines",,"Huk",1009,,2,,2,1,3,"1946-07-31",4,"1946-07-31",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1952,"Philippines","Government of Philippines",,"Huk",1009,,2,,2,1,3,"1946-07-31",4,"1946-07-31",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1953,"Philippines","Government of Philippines",,"Huk",1009,,2,,2,1,3,"1946-07-31",4,"1946-07-31",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1954,"Philippines","Government of Philippines",,"Huk",1009,,2,,2,1,3,"1946-07-31",4,"1946-07-31",4,1,"1954-12-31",5,840,,,,840,3,"4.0-2015"
"1-10",1969,"Philippines","Government of Philippines",,"CPP",1010,,2,,1,1,3,"1946-07-31",4,"1969-09-30",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1970,"Philippines","Government of Philippines",,"CPP",1010,,2,,1,1,3,"1946-07-31",4,"1969-09-30",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1971,"Philippines","Government of Philippines",,"CPP",1010,,2,,1,1,3,"1946-07-31",4,"1969-09-30",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1972,"Philippines","Government of Philippines",,"CPP",1010,,2,,1,1,3,"1946-07-31",4,"1969-09-30",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1973,"Philippines","Government of Philippines",,"CPP",1010,,2,,1,1,3,"1946-07-31",4,"1969-09-30",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1974,"Philippines","Government of Philippines",,"CPP",1010,,2,,1,1,3,"1946-07-31",4,"1969-09-30",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1975,"Philippines","Government of Philippines",,"CPP",1010,,2,,1,1,3,"1946-07-31",4,"1969-09-30",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1976,"Philippines","Government of Philippines",,"CPP",1010,,2,,1,1,3,"1946-07-31",4,"1969-09-30",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1977,"Philippines","Government of Philippines",,"CPP",1010,,2,,1,1,3,"1946-07-31",4,"1969-09-30",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1978,"Philippines","Government of Philippines",,"CPP",1010,,2,,1,1,3,"1946-07-31",4,"1969-09-30",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1979,"Philippines","Government of Philippines",,"CPP",1010,,2,,1,1,3,"1946-07-31",4,"1969-09-30",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1980,"Philippines","Government of Philippines",,"CPP",1010,,2,,1,1,3,"1946-07-31",4,"1969-09-30",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1981,"Philippines","Government of Philippines",,"CPP",1010,,2,,1,1,3,"1946-07-31",4,"1969-09-30",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1982,"Philippines","Government of Philippines",,"CPP",1010,,2,,2,1,3,"1946-07-31",4,"1969-09-30",4,0,,,840,,,,840,3,"4.0-2015"
"1-10",1983,"Philippines","Government of Philippines",,"CPP",1010,,2,,2,1,3,"1946-07-31",4,"1969-09-30",4,0,,,840,,,,840,3,"4.0-2015"
