year,ccode,uds
1946,2,1.098657216
1947,2,1.106365056
1948,2,1.063506217
1949,2,1.062283724
1950,2,1.098333662
1951,2,1.066239832
1952,2,1.057351519
1953,2,1.067276205
1954,2,1.057386676
1955,2,1.107580626
1956,2,1.058236932
1957,2,1.069867987
1958,2,1.054280143
1959,2,1.058264663
1960,2,1.108639482
1961,2,1.062049069
1962,2,1.274358374
1963,2,1.065604688
1964,2,0.96412508
1965,2,1.209519675
1966,2,0.968763227
1967,2,1.169749631
1968,2,1.396875525
1969,2,1.406631819
1970,2,1.154504236
1971,2,1.167727543
1972,2,1.142233255
1973,2,1.316519245
1974,2,1.309009473
1975,2,1.31078353
1976,2,1.409575873
1977,2,1.408396115
1978,2,1.222884876
1979,2,1.068294907
1980,2,1.163857578
1981,2,1.139611423
1982,2,1.144347187
1983,2,1.406296233
1984,2,1.299023365
1985,2,1.320668748
1986,2,1.288262937
1987,2,1.290225077
1988,2,1.403440917
1989,2,1.394486119
1990,2,1.56978251
1991,2,1.569018422
1992,2,2.004468861
1993,2,2.013548052
1994,2,2.003471183
1995,2,2.017385976
1996,2,1.566602118
1997,2,1.577684387
1998,2,1.570275776
1999,2,1.570646523
2000,2,1.574445414
2001,2,1.565546908
2002,2,1.57130101
2003,2,1.560338148
2004,2,1.559502712
2005,2,1.563417534
2006,2,1.570110333
2007,2,1.568301849
2008,2,1.567914653
1946,20,1.236193664
1947,20,1.235760952
1948,20,1.164058861
1949,20,1.054021038
1950,20,1.103933747
1951,20,1.066578764
1952,20,1.057462916
1953,20,0.966593995
1954,20,0.968826813
1955,20,1.021485373
1956,20,0.967773556
1957,20,1.060681838
1958,20,1.064474625
1959,20,1.063403829
1960,20,1.100596458
1961,20,1.055844641
1962,20,1.157692733
1963,20,1.065628138
1964,20,1.053248531
1965,20,1.102468913
1966,20,1.060709464
1967,20,1.279752027
1968,20,1.283500052
1969,20,1.287141626
1970,20,1.063179249
1971,20,1.27972887
1972,20,1.520956563
1973,20,1.516803546
1974,20,1.415638038
1975,20,1.419392281
1976,20,1.411465919
1977,20,1.413124999
1978,20,1.414157307
1979,20,1.518717828
1980,20,1.527242694
1981,20,1.515225647
1982,20,1.30472012
1983,20,1.397202437
1984,20,1.408616976
1985,20,1.430725227
1986,20,1.407579175
1987,20,1.403088869
1988,20,1.393916705
1989,20,1.400725336
1990,20,1.40018611
1991,20,1.401577701
1992,20,1.562168376
1993,20,1.395823918
1994,20,1.399087586
1995,20,1.403817496
1996,20,1.402543588
1997,20,1.393226567
1998,20,1.398501951
1999,20,1.398766042
2000,20,1.308775581
2001,20,1.280175591
2002,20,1.29036043
2003,20,1.283814648
2004,20,1.394822993
2005,20,1.404766862
2006,20,1.396736743
2007,20,1.397451621
2008,20,1.403645317
1973,31,0.741887916
1974,31,0.748274029
1975,31,0.752222264
1976,31,0.750670953
1977,31,0.741722934
1978,31,0.751826162
1979,31,0.742954482
1980,31,0.83713565
1981,31,0.6342759
1982,31,0.730834487
1983,31,0.686680385
1984,31,0.690604295
1985,31,0.540616959
1986,31,0.697101479
1987,31,0.587801742
1988,31,0.737103334
1989,31,0.584750496
1990,31,0.588243145
1991,31,0.584658407
1992,31,0.827790513
1993,31,0.83094973
1994,31,0.829328124
1995,31,0.836873938
1996,31,0.8333054
1997,31,0.82507497
1998,31,0.822109546
1999,31,1.052253982
2000,31,1.126114866
2001,31,1.046864916
2002,31,1.051842541
2003,31,1.04947901
2004,31,1.039472615
2005,31,1.050677788
2006,31,1.047935989
2007,31,1.189658657
2008,31,1.177494536
1946,40,0.38246907
1947,40,0.386719531
1948,40,0.462716639
1949,40,0.553549309
1950,40,0.559946991
1951,40,0.549898385
1952,40,-0.648564905
1953,40,-0.766014379
1954,40,-0.904219582
1955,40,-0.880009912
1956,40,-1.118519667
1957,40,-0.985042685
1958,40,-1.123785866
1959,40,-0.647055187
1960,40,-0.950665077
1961,40,-1.106669198
1962,40,-1.104260415
1963,40,-1.096916354
1964,40,-1.097209654
1965,40,-1.363903365
1966,40,-1.095383395
1967,40,-1.105213275
1968,40,-1.098213209
1969,40,-1.099849744
1970,40,-1.09643197
1971,40,-1.096374298
1972,40,-1.158086457
1973,40,-1.151254567
1974,40,-1.151417035
1975,40,-1.158597613
1976,40,-0.927970662
1977,40,-0.851150014
1978,40,-0.839337187
1979,40,-0.842989194
1980,40,-0.965598891
1981,40,-0.843619301
1982,40,-0.850673072
1983,40,-0.876062275
1984,40,-0.875979759
1985,40,-1.127003857
1986,40,-0.877808403
1987,40,-0.880362004
1988,40,-1.212200856
1989,40,-1.140851075
1990,40,-1.147129551
1991,40,-1.143817262
1992,40,-1.141699593
1993,40,-1.147467013
1994,40,-1.144280417
1995,40,-1.15166739
1996,40,-1.146364519
1997,40,-1.14640142
1998,40,-1.147181215
1999,40,-1.138768367
2000,40,-1.333260586
2001,40,-1.140849516
2002,40,-1.140191873
2003,40,-1.138034641
2004,40,-1.143158868
2005,40,-1.143846583
2006,40,-1.137352759
2007,40,-1.148620563
2008,40,-0.97152875
1946,41,-0.453637903
1947,41,-0.479161547
1948,41,-0.547837175
1949,41,-0.584604693
1950,41,-0.569551194
1951,41,-0.517016231
1952,41,-0.520820311
1953,41,-0.518930346
1954,41,-0.517657898
1955,41,-0.508329028
1956,41,-0.722483047
1957,41,-0.446642245
1958,41,-0.720345688
1959,41,-0.719946247
1960,41,-0.713803575
1961,41,-1.125667109
1962,41,-1.118237683
1963,41,-1.24568987
1964,41,-1.259397987
1965,41,-1.060440634
1966,41,-1.116306409
1967,41,-1.252009806
1968,41,-1.123532316
1969,41,-1.119642232
1970,41,-1.120754014
1971,41,-1.401286648
1972,41,-1.321221017
1973,41,-1.226874226
1974,41,-1.228126173
1975,41,-1.223332598
1976,41,-1.232042766
1977,41,-1.135233899
1978,41,-1.138979733
1979,41,-1.136887752
1980,41,-1.180913949
1981,41,-1.141086664
1982,41,-1.140523115
1983,41,-1.232588549
1984,41,-1.239464
1985,41,-1.064059162
1986,41,-0.75787129
1987,41,-0.9194415
1988,41,-0.778851053
1989,41,-0.741210247
1990,41,-0.042938964
1991,41,-0.626514307
1992,41,-1.146573067
1993,41,-1.147385707
1994,41,-0.13057565
1995,41,0.045170037
