ccode,year,x_polity
700,1800,-6
700,1801,-6
700,1802,-6
700,1803,-6
700,1804,-6
700,1805,-6
700,1806,-6
700,1807,-6
700,1808,-6
700,1809,-6
700,1810,-6
700,1811,-6
700,1812,-6
700,1813,-6
700,1814,-6
700,1815,-6
700,1816,-6
700,1817,-6
700,1818,-6
700,1819,-6
700,1820,-6
700,1821,-6
700,1822,-6
700,1823,-6
700,1824,-6
700,1825,-6
700,1826,-6
700,1827,-6
700,1828,-6
700,1829,-6
700,1830,-6
700,1831,-6
700,1832,-6
700,1833,-6
700,1834,-6
700,1835,-6
700,1836,-6
700,1837,-6
700,1838,-6
700,1839,-6
700,1840,-6
700,1841,-6
700,1842,-6
700,1843,-6
700,1844,-6
700,1845,-6
700,1846,-6
700,1847,-6
700,1848,-6
700,1849,-6
700,1850,-6
700,1851,-6
700,1852,-6
700,1853,-6
700,1854,-6
700,1855,-6
700,1856,-6
700,1857,-6
700,1858,-6
700,1859,-6
700,1860,-6
700,1861,-6
700,1862,-6
700,1863,-6
700,1864,-6
700,1865,-6
700,1866,-6
700,1867,-6
700,1868,-6
700,1869,-6
700,1870,-6
700,1871,-6
700,1872,-6
700,1873,-6
700,1874,-6
700,1875,-6
700,1876,-6
700,1877,-6
700,1878,-6
700,1879,-6
700,1880,-6
700,1881,-6
700,1882,-6
700,1883,-6
700,1884,-6
700,1885,-6
700,1886,-6
700,1887,-6
700,1888,-6
700,1889,-6
700,1890,-6
700,1891,-6
700,1892,-6
700,1893,-6
700,1894,-6
700,1895,-6
700,1896,-6
700,1897,-6
700,1898,-6
700,1899,-6
700,1900,-6
700,1901,-6
700,1902,-6
700,1903,-6
700,1904,-6
700,1905,-6
700,1906,-6
700,1907,-6
700,1908,-6
700,1909,-6
700,1910,-6
700,1911,-6
700,1912,-6
700,1913,-6
700,1914,-6
700,1915,-6
700,1916,-6
700,1917,-6
700,1918,-6
700,1919,-6
700,1920,-6
700,1921,-6
700,1922,-6
700,1923,-6
700,1924,-6
700,1925,-6
700,1926,-6
700,1927,-6
700,1928,-6
700,1929,-6
700,1930,-6
700,1931,-6
700,1932,-6
700,1933,-6
700,1934,-6
700,1935,-6
700,1936,-6
700,1937,-6
700,1938,-6
700,1939,-6
700,1940,-6
700,1941,-6
700,1942,-6
700,1943,-6
700,1944,-6
700,1945,-6
700,1946,-6
700,1947,-6
700,1948,-6
700,1949,-6
700,1950,-6
700,1951,-6
700,1952,-6
700,1953,-6
700,1954,-6
700,1955,-6
700,1956,-6
700,1957,-6
700,1958,-6
700,1959,-6
